group_name,joined,url,url_confidence,notes,allows_vendor_posts,promo_day,admin_approval,disclosure_required,last_posted
"Real Estate Investors Winston-Salem NC | RealEstateInvesting.com","2026-08-12","https://www.facebook.com/groups/winstonsalem.nc.real.estate.investing/","high","REInvesting.com network",,,,,
"Real Estate Investors Greensboro NC | RealEstateInvesting.com","2026-08-13","https://www.facebook.com/groups/greensboro.nc.real.estate.investing/","high","REInvesting.com network",,,,,
"Greenville NC Real Estate Investors","2026-08-12","https://www.facebook.com/groups/727000970765680/","high","exact name match",,,,,
"Cary/Apex Real Estate","2026-08-14","https://www.facebook.com/groups/1749168471983426/","high","public group",,,,,
"Triad NC Real Estate For Sale","2026-08-14","https://www.facebook.com/groups/132632112062762/","high","exact name match",,,,,
"Triangle Realtors and Real Estate","2026-08-14","https://www.facebook.com/groups/431974538068117/","high","exact name match",,,,,
"Fayetteville NC Investment Property's","2026-08-14","https://www.facebook.com/groups/1280182228658734/","high","exact name match",,,,,
"Fayetteville Area Open Houses","2026-08-14","https://www.facebook.com/groups/3241763112560730/","high","exact name match",,,,,
"Fort Bragg / Liberty Realtors","2026-08-14","https://www.facebook.com/groups/849888585797888/","high","exact name match",,,,,
"Fayetteville - Fort Bragg - House Hunters","2026-08-14","https://www.facebook.com/groups/fayettevillehousehunters/","high","exact name match",,,,,
"Ballantyne Real Estate Connection","2026-08-12","https://www.facebook.com/groups/671919856253749/","high","exact name match",,,,,
"Homes for sale or rent in Indian Trail/Matthews//Monroe/Union County, NC","2026-08-14","https://www.facebook.com/groups/1811218075795719/","high","exact name match",,,,,
"Charlotte/Triangle/Triad off market real estate","2026-08-14","https://www.facebook.com/groups/541963150394445/","high","ID from a post URL in that group",,,,,
"Moving to North Carolina - Fayetteville & Raeford Area","2026-08-14","https://www.facebook.com/groups/1543280699527649/","high","ID from a post URL in that group",,,,,
"Charlotte Real Estate Investors (join #1)","2024-12-06","https://www.facebook.com/groups/CharlotteRealEstateInvestor/","medium","TWO groups share this exact name - verify which is which",,,,,
"Charlotte Real Estate Investors (join #2)","2026-08-12","https://www.facebook.com/groups/285310938318371/","medium","3 candidates exist: also /CharlotteRealEstateInvestors/ (plural) - verify",,,,,
"North Carolina Real Estate Investors (join #1)","2024-12-17","https://www.facebook.com/groups/NCREI/","medium","TWO groups share this exact name - second URL not found",,,,,
"North Carolina Real Estate Investors (join #2)","2026-04-28","","not found","TWO groups share this exact name - second URL not found",,,,,
"Winston-Salem Real Estate Investors","2026-08-14","https://www.facebook.com/groups/184521876174021/","medium","3 similarly-named W-S groups exist; verify",,,,,
"Lake Norman Area REALTOR Network (For REALTORS Only!)","2026-08-14","https://www.facebook.com/groups/251472784889900/","low","closest match is 'Lake Norman Realtors (REALTORS ONLY)' - name differs",,,,,
"Moving To Charlotte, NC","2026-03-13","https://www.facebook.com/groups/movingtocharlottenc/","low","closest match is 'Moving To Beautiful Charlotte, North Carolina From...'",,,,,
"North Carolina Off Market Real Estate","2025-08-20","","not found","distinct from 'Off Market Properties'",,,,,
"North Carolina For Sale By Owner, Land, Farms, Homes","2025-08-20","","not found","distinct from 'For Sale & Rent'",,,,,
"North Carolina Real Estate","2025-08-21","https://www.facebook.com/groups/958846968202778/","medium","exact title match but generic name - verify",,,,,
"NC Home Buyers&Sellers,Rentals,Airbnbs,Relocating All things Real Estate","2025-08-26","https://www.facebook.com/groups/625338875556537/","high","exact name match incl. emoji",,,,,
"North Carolina off Market deals","2025-09-28","","not found","name too generic",,,,,
"NC - ONLY Off Market Deals/Build Your Contacts!","2025-10-09","","not found","",,,,,
"North Carolina Real Estate Listings and Open Houses","2026-04-28","","not found","",,,,,
"Charlotte Real Estate Wholesalers Club","2026-04-28","","not found","",,,,,
"Charlotte Real Estate Professionals","2026-08-12","","not found","",,,,,
"Wholesale Real Estate In North Carolina","2026-08-12","","not found","distinct from 'North Carolina Wholesale Real Estate'",,,,,
"Stanly & Cabarrus County Real Estate Connection","2026-08-14","","not found","",,,,,
"Triad Real Estate Collaborators","2026-08-16","https://www.facebook.com/groups/537168516912225/","high","exact name match",,,,,
"Sanford NC homes for rent/sale","2026-08-14","https://www.facebook.com/groups/626396992938482/","high","exact name match",,,,,
